Company Name,Category,Sub-Category,Hall,LinkedIn URL
GitHub,Corporate,Domestic,15,https://www.linkedin.com/company/github/
People Prime,Corporate,Domestic,15,https://www.linkedin.com/company/people-prime/
Vivekananda Global University Jaipur,Academia,,15,https://www.linkedin.com/company/vivekananda-global-university-jaipur/
Karmayogi Bharat Department of Personnel and Training,Government,,15,https://www.linkedin.com/company/karmayogi-bharat-department-of-personnel-and-training/
Delhi Metro Corporation,Public Sector Units,,15,https://www.linkedin.com/company/delhi-metro/
Government of Punjab Information Communication Tech Corp Ltd,Government,,15,https://www.linkedin.com/company/government-of-punjab-information--communication-tech-corp-ltd/
Ishan Technologies,Corporate,Domestic,15,https://www.linkedin.com/company/ishan/
Suronex and Zero Forg,Startup,,15,https://www.linkedin.com/company/suronex-and-zero-forg/
TrueFan AI,Startup,,15,https://www.linkedin.com/company/truefan-ai/
Aiwo Limited,Corporate,Domestic,15,https://www.linkedin.com/company/aiwo-limited/
Blockchain For Impact,Corporate,Domestic,15,https://www.linkedin.com/company/blockchain-for-impact/
The LEGO Group,Corporate,Domestic,15,https://www.linkedin.com/company/the-lego-group/
Dayananda Sagar University,Academia,,15,https://www.linkedin.com/company/dayananda-sagar-university/
Government of Manipur Department of Information Technology,Government,,15,https://www.linkedin.com/company/government-of-manipur-department-of-information-technology/
Avinyaa EdTech Kreativespace,Startup,,15,https://www.linkedin.com/company/avinyaa-edtech-kreativespace/
PRAMA India Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/prama-india/
Ripik technology Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/ripik-technology/
The STEM Practice Company,Corporate,International,15,https://www.linkedin.com/company/the-stem-practice-company/
Integra Micro Systems,Corporate,Domestic,15,https://www.linkedin.com/company/integra-micro-systems/
Government of Madhya Pradesh State Electronics Development Corporation,Government,,15,https://www.linkedin.com/company/government-of-madhya-pradesh-state-electronics-development/
IIT Kharagpur AI4ICPS I Hub Foundation,Academia,,15,https://www.linkedin.com/company/iit-kharagpur-ai4icps-i-hub-foundation/
Bourntec Solutions Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/bourntec-solutions/
Gates Foundation,Research,,15,https://www.linkedin.com/company/gates-foundation/
Government of Maharashtra,Government,,15,https://www.linkedin.com/company/government-of-maharashtra/
Resecurity,Corporate,Domestic,15,https://www.linkedin.com/company/resecurity/
State Bank of India Mumbai,Public Sector Units,,15,https://www.linkedin.com/company/state-bank-of-india-mumbai/
